gloss,prop_know
bag,0.22372881355932203
store,0.2847457627118644
why,0.5457627118644067
saw,0.511864406779661
daddy,0.3016949152542373
they're,0.6474576271186441
tree,0.2440677966101695
day,0.3525423728813559
four,0.46779661016949153
pulling,0.2271186440677966
many,0.27796610169491526
toy,0.2305084745762712
cut,0.27796610169491526
than,0.23728813559322035
high,0.2135593220338983
doing,0.4440677966101695
but,0.6847457627118644
guys,0.2440677966101695
those,0.5322033898305085
mouth,0.29152542372881357
my,0.6644067796610169
face,0.24745762711864408
could,0.5016949152542373
stuff,0.3423728813559322
ten,0.3220338983050847
stuck,0.23389830508474577
d,0.2305084745762712
dog,0.4440677966101695
be,0.5796610169491525
who's,0.3152542372881356
put,0.6711864406779661
happened,0.2745762711864407
we're,0.3728813559322034
ice,0.23728813559322035
kids,0.3152542372881356
eat,0.535593220338983
won't,0.4033898305084746
come,0.7016949152542373
juice,0.2677966101694915
last,0.30847457627118646
inside,0.3559322033898305
what's,0.5627118644067797
open,0.576271186440678
good,0.5016949152542373
t,0.2271186440677966
aw,0.20677966101694914
listen,0.2033898305084746
find,0.41694915254237286
money,0.3559322033898305
for,0.7966101694915254
h,0.21694915254237288
nose,0.2305084745762712
say,0.4440677966101695
part,0.3016949152542373
trying,0.4610169491525424
along,0.20677966101694914
how,0.5864406779661017
hey,0.47796610169491527
let,0.6237288135593221
more,0.6406779661016949
hard,0.33220338983050846
ow,0.2711864406779661
fall,0.3593220338983051
bring,0.3288135593220339
shoes,0.23389830508474577
real,0.29152542372881357
drink,0.288135593220339
ride,0.2677966101694915
we'll,0.2576271186440678
bird,0.20677966101694914
chicken,0.2135593220338983
candy,0.20677966101694914
there's,0.6576271186440678
read,0.3389830508474576
nothing,0.3898305084745763
car,0.4711864406779661
coming,0.4847457627118644
old,0.36271186440677966
didn't,0.5627118644067797
looked,0.25084745762711863
sometimes,0.22372881355932203
cat,0.29152542372881357
floor,0.2542372881355932
bus,0.33559322033898303
we,0.6271186440677966
tell,0.37966101694915255
story,0.2542372881355932
box,0.33220338983050846
at,0.7627118644067796
nobody,0.24067796610169492
it's,0.7491525423728813
place,0.3254237288135593
very,0.34576271186440677
thing,0.5898305084745763
think,0.49491525423728816
had,0.5661016949152542
may,0.2271186440677966
some,0.7728813559322034
birthday,0.23389830508474577
sees,0.2135593220338983
her,0.5288135593220339
move,0.3050847457627119
know,0.7186440677966102
their,0.37966101694915255
coffee,0.2033898305084746
came,0.511864406779661
still,0.46779661016949153
uhhuh,0.3694915254237288
broken,0.21016949152542372
leave,0.3016949152542373
pretend,0.2033898305084746
nice,0.2745762711864407
eight,0.3016949152542373
wanted,0.3559322033898305
street,0.2271186440677966
milk,0.3254237288135593
uhuh,0.288135593220339
hands,0.34576271186440677
remember,0.288135593220339
about,0.4610169491525424
stick,0.288135593220339
kind,0.3423728813559322
boy,0.6101694915254238
been,0.2305084745762712
run,0.38305084745762713
truck,0.26440677966101694
everything,0.2440677966101695
water,0.3525423728813559
sorry,0.2033898305084746
she,0.5423728813559322
cookie,0.2271186440677966
white,0.28135593220338984
toys,0.3152542372881356
running,0.41694915254237286
touch,0.21694915254237288
want,0.7423728813559322
sitting,0.2847457627118644
ate,0.2983050847457627
yet,0.3152542372881356
nope,0.3254237288135593
yellow,0.2711864406779661
boat,0.21694915254237288
look,0.6576271186440678
told,0.4101694915254237
him,0.7593220338983051
fix,0.2542372881355932
bye,0.3220338983050847
you,0.7966101694915254
yeah,0.7423728813559322
eleven,0.20677966101694914
anything,0.2745762711864407
anymore,0.26101694915254237
together,0.27796610169491526
ya,0.27796610169491526
isn't,0.3050847457627119
train,0.20677966101694914
top,0.34915254237288135
p,0.20677966101694914
twelve,0.22033898305084745
does,0.4847457627118644
talking,0.2440677966101695
start,0.2576271186440678
big,0.6949152542372882
from,0.5457627118644067
da,0.2271186440677966
so,0.6915254237288135
first,0.4271186440677966
bigger,0.2745762711864407
when,0.6508474576271186
our,0.33559322033898303
talk,0.31864406779661014
were,0.48135593220338985
push,0.28135593220338984
yup,0.22033898305084745
stop,0.4033898305084746
having,0.23728813559322035
night,0.24067796610169492
then,0.7423728813559322
color,0.21016949152542372
w,0.24745762711864408
s,0.26440677966101694
same,0.3254237288135593
stand,0.3050847457627119
buy,0.3288135593220339
if,0.535593220338983
before,0.29152542372881357
take,0.6406779661016949
did,0.6474576271186441
rest,0.21016949152542372
sit,0.4440677966101695
broke,0.2745762711864407
sure,0.26101694915254237
play,0.5525423728813559
shirt,0.22033898305084745
cookies,0.23728813559322035
dinner,0.23728813559322035
game,0.26440677966101694
went,0.6677966101694915
guy,0.28135593220338984
under,0.2745762711864407
as,0.25084745762711863
doesn't,0.45084745762711864
door,0.5050847457627119
holding,0.23728813559322035
little,0.7694915254237288
side,0.36610169491525424
work,0.31864406779661014
enough,0.3050847457627119
please,0.3254237288135593
shoot,0.23389830508474577
tried,0.2576271186440678
feel,0.20677966101694914
orange,0.24745762711864408
black,0.2677966101694915
stay,0.48135593220338985
sky,0.22033898305084745
are,0.7932203389830509
apple,0.20677966101694914
teeth,0.22372881355932203
jump,0.29491525423728815
eyes,0.27796610169491526
caught,0.27796610169491526
ran,0.3050847457627119
mean,0.39322033898305087
school,0.38305084745762713
hurt,0.3016949152542373
looks,0.4
again,0.5694915254237288
baby,0.4440677966101695
really,0.33220338983050846
hello,0.24745762711864408
okay,0.6949152542372882
wasn't,0.2983050847457627
piece,0.29491525423728815
wrong,0.25084745762711863
chair,0.36610169491525424
pick,0.3050847457627119
away,0.5796610169491525
lady,0.2983050847457627
called,0.2745762711864407
e,0.21694915254237288
else,0.3593220338983051
green,0.31186440677966104
fire,0.21694915254237288
Mommy,0.3220338983050847
comes,0.4101694915254237
close,0.3288135593220339
oh,0.6983050847457627
tape,0.23728813559322035
mommy,0.423728813559322
m,0.2271186440677966
looking,0.43389830508474575
finished,0.2440677966101695
both,0.23728813559322035
until,0.26440677966101694
dad,0.20677966101694914
making,0.3220338983050847
different,0.2542372881355932
do,0.7593220338983051
love,0.2305084745762712
I'll,0.535593220338983
pants,0.2135593220338983
would,0.4
his,0.7457627118644068
thought,0.31186440677966104
clean,0.2305084745762712
end,0.2983050847457627
walk,0.27796610169491526
saying,0.23728813559322035
wanna,0.5186440677966102
wouldn't,0.21016949152542372
was,0.7389830508474576
air,0.26101694915254237
use,0.3254237288135593
who,0.488135593220339
every,0.288135593220339
oo,0.22033898305084745
behind,0.31186440677966104
o,0.23728813559322035
make,0.5796610169491525
cause,0.23389830508474577
throw,0.2440677966101695
ball,0.3016949152542373
your,0.5423728813559322
has,0.5186440677966102
slide,0.20677966101694914
fast,0.29152542372881357
hat,0.3389830508474576
maybe,0.36610169491525424
into,0.49491525423728816
feet,0.24067796610169492
gone,0.31864406779661014
these,0.6677966101694915
mother,0.29491525423728815
mom,0.3288135593220339
took,0.423728813559322
lot,0.3050847457627119
one's,0.2305084745762712
stairs,0.24067796610169492
seven,0.29152542372881357
