target_child_id,vocab_delta,vocab_t1,vocab_t2,mtld_delta,mtld_t1,mtld_t2,age_diff,mean_log_word_freq_t1,log_num_trigrams_t1,mean_log_freq_trigrams_t1,mean_log_word_freq_t2,log_num_trigrams_t2,mean_log_freq_trigrams_t2
2521,-7,72,65,4.801495097776519,7.18013942931258,11.9816345270891,272.749775970759,0,7.368970402194793,1.135413545782918,0,9.677026002747972,0.7999965282594446
2567,181,39,220,7.938130792996899,5.625,13.5631307929969,260.937285673217,0,6.343880434126331,0.7074147348142277,0,11.06333604067481,0.7156940535680608
2576,39,8,47,4.86046511627907,3.8,8.66046511627907,238.499804102754,3.7053125,2.1972245773362196,1.4973647252921403,0,7.975564658495202,0.9550430973271966
2585,57,29,86,12.46053415020139,5.86841321821971,18.3289473684211,254.93729060145,0,2.1972245773362196,2.005427950249106,0,9.13399913871946,0.9318315569653766
2588,122,44,166,19.655015953071793,6.31578947368421,25.970805426756,265.499781925707,0,6.519147287940395,0.9654085698036353,0,10.892303576214507,0.7563413810932245
2591,45,9,54,-0.18808251973073098,8.70466321243523,8.5165806927045,197.06233813836,4.5803666666666665,4.59511985013459,1.0504714031915923,0,8.14002395246292,0.8131695875984034
2600,41,41,82,3.608094602826231,9.00936037441497,12.6174549772412,233.499808209614,0,5.5053315359323625,1.081448646093406,0,9.114600099695346,0.723361151850932
2618,226,148,374,8.07971613614437,8.08130081300813,16.1610169491525,91.31242499846,0,8.80941494391005,0.7442788008154346,0,11.270535381710154,0.6258771968187339
2964,47,1089,1136,8.3267177710711,15.5184370306583,23.8451548017294,121.749899997947,0,12.429616116865711,0.5059605363870389,0,12.811216138741559,0.4555024287133986
3012,-75,960,885,3.6560454516647987,16.3282598436203,19.9843052952851,117.95728947673,0,12.68737161653782,0.49606884849597693,0,12.904739564267844,0.45606043563103765
3167,-531,993,462,4.566386421721931,7.22454528711127,11.7909317088332,77.3407698077305,0,11.829326181003843,0.5499530830548014,0,12.072929748859895,0.5289283045859626
3617,297,212,509,0.8919733144727502,4.83528900477344,5.72726231924619,152.813510846779,0,10.466070363074957,0.7740014529723636,0,11.52247967777504,0.5961184039254339
3633,-39,1115,1076,4.6299398294878,13.5641677838769,18.1941076133647,164.619814280716,0,12.536882452240109,0.488077439583717,0,12.916106441246543,0.44329725528158037
3643,563,1055,1618,4.427436811403409,9.03202630295469,13.4594631143581,140.009354697097,0,11.80558015344853,0.5438774995420766,0,12.824709080526384,0.4487642069358328
3658,257,1923,2180,2.3977717433903987,12.7098745932769,15.1076463366673,161.804926621648,0,12.91738876670544,0.44713075797122503,0,13.162518269461208,0.4000618266130087
3670,357,593,950,4.150640131688601,10.2123637906989,14.3630039223875,149.500571648745,0,11.795393970369123,0.5698353797863496,0,12.570806032821068,0.4860984050756025
3679,211,504,715,3.15906446945763,5.76609596593859,8.92516043539622,157.838254194339,0,11.204741320667946,0.61065579926859,0,12.081534973595048,0.5237409227999306
3694,391,117,508,3.8290758950012016,11.8846153846154,15.7136912796166,115.999904720836,0,7.8567067930958405,0.7924667975560225,0,11.973345820988902,0.5830169783434704
3841,245,243,488,5.095407277483499,20.7672446452526,25.8626519227361,173.697773996044,0,10.9033470758296,0.7267880455142857,0,11.992805164886171,0.5821596241417641
3951,-103,973,870,3.546931618216311,6.20806245753918,9.75499407575549,120.481671872968,0,11.905967053079335,0.5254943235544367,0,12.486949112293342,0.4893473619066225
4580,174,139,313,1.6459138507823594,6.31820100035007,7.96411485113243,113.418656841003,0,8.464846711044029,0.6888923787527156,0,10.500756892202675,0.6619729018263865
4585,116,293,409,1.6902634737874997,11.8220328141532,13.5122962879407,145.143630782973,0,10.94641093534365,0.6869919249809138,0,11.731996735794215,0.5860766287037232
4589,34,388,422,2.7117397239327,10.9506747407653,13.662414464698,150.806126131954,0,11.553981032210253,0.6401150803891895,0,12.065303696293757,0.5663381355122125
4709,56,10,66,7.06098011678617,7.64658634538153,14.7075664621677,243.499799995893,0,4.110873864173311,1.4469489423962933,0,7.903596289614301,0.8331156159997876
4711,54,17,71,7.53864953333043,4.27027027027027,11.8089198036007,243.499799995893,0,5.3230099791384085,1.0788472936059494,0,8.65591111072806,0.9635433086551862
4713,83,5,88,6.62652917440599,4.30769230769231,10.9342214820983,243.499799995893,3.47844,0,4.890349128221754,0,9.394160804893874,0.83697400427011
4715,103,17,120,30.20558802225083,6.58033573141487,36.7859237536657,243.499799995893,0,4.634728988229636,1.0276175052504013,0,10.349262524047791,0.7337354940229094
4717,72,14,86,4.15576301615799,4.52423698384201,8.68,243.499799995893,0,3.6635616461296463,1.5457776083220611,0,8.513787398281405,0.8842682558730448
4719,64,11,75,6.1035294117647005,7.6,13.7035294117647,182.62484999692,0,2.1972245773362196,1.4617776993113425,0,9.057771773331575,0.9134257365080083
4721,106,18,124,22.371657178299436,4.86710459828196,27.2387617765814,243.499799995893,0,5.556828061699537,0.789575444428483,0,9.745839095947058,0.8352311935070336
4723,107,5,112,17.2669581346052,2.75,20.0169581346052,243.499799995893,4.30984,2.1972245773362196,1.5114653605868498,0,9.849400886632361,0.8794825589351911
4727,109,17,126,12.55280076781339,7.32331238043181,19.8761131482452,243.499799995893,0,3.367295829986474,0.6975220147893623,0,10.610882746361275,0.8267698161616327
4729,30,10,40,6.72119654124794,4.36363636363636,11.0848329048843,243.499799995893,0,3.9512437185814275,1.1632985977940162,0,7.5745584842024805,1.0554758383995388
4731,116,39,155,10.456433572542181,7.47736165455562,17.9337952270978,243.499799995893,0,7.717796211013582,0.9760537649684582,0,10.836891022686792,0.8090572559067751
4733,96,11,107,4.12340425531915,4.6,8.72340425531915,243.499799995893,0,4.143134726391533,1.3823098933753342,0,9.784197131344804,0.7940347490590299
4735,86,24,110,11.841957437048858,5.96321393998064,17.8051713770295,243.499799995893,0,6.679599185844383,1.3578302343396813,0,9.957312639231036,0.8565887379414663
4737,128,12,140,16.543659832953672,5.33333333333333,21.876993166287,243.499799995893,0,3.2188758248682006,0.9697977365463276,0,10.377918865109015,0.7210660284671032
4739,110,20,130,7.456554033080531,5.41666666666667,12.8732206997472,243.499799995893,0,4.90527477843843,0.9447006514319264,0,10.029503273118987,0.7534716749061241
4741,73,43,116,5.26818844563423,8.78260869565217,14.0507971412864,243.499799995893,0,7.637716432664798,0.9750024285101279,0,10.336016443526942,0.8250707495846149
4744,84,7,91,5.81901309827828,3.48852459016393,9.30753768844221,243.499799995893,0,3.6888794541139363,1.311807859272748,0,9.462654300590172,0.9001461118429289
4748,93,18,111,9.47291568535095,4.45454545454545,13.9274611398964,243.499799995893,0,5.293304824724492,1.1165634181315254,0,9.886799071249893,0.7629081337446152
4750,125,15,140,10.16041014912211,3.09677419354839,13.2571843426705,243.499799995893,0,3.8066624897703196,1.0992814058545832,0,10.273843483530724,0.8125280591815918
4753,67,27,94,23.50296901777459,8.09152542372881,31.5944944415034,243.499799995893,0,6.20050917404269,1.0419454966622081,0,9.401291255468191,0.8246245231543056
4755,104,31,135,4.5898234483642595,5.13333333333333,9.72315678169759,243.499799995893,0,5.771441123130016,1.0749284786847697,0,9.948938815440046,0.7915983164779877
4757,50,4,54,15.88888888888893,3.66666666666667,19.5555555555556,243.499799995893,4.2566500000000005,2.4849066497880004,1.0917786675150212,0,7.4821189235521155,0.8816366485142221
4759,129,23,152,9.5965859352203,7.5,17.0965859352203,243.499799995893,0,6.054439346269371,1.061281141071622,0,10.583726782795289,0.7544962163452964
4761,102,13,115,1.5228615774559007,12.0411522633745,13.5640138408304,243.499799995893,0,4.59511985013459,1.3119485235934027,0,9.596486735697948,0.8071714896331086
4763,88,5,93,12.171649616255559,4.24242424242424,16.4140738586798,243.499799995893,4.648000000000001,3.044522437723423,1.6094255657776508,0,9.093469420244768,0.8232663050309612
4846,672,653,1325,3.2312579893022804,8.56982562427682,11.8010836135791,87.8202403668454,0,11.530264275246719,0.5503729197705809,0,12.628129348731258,0.46842131233928963
5005,296,1567,1863,7.401183692439101,21.182872396567,28.5840560890061,149.293651229221,0,12.686883293023065,0.4808253522412609,0,13.053602621833537,0.42340665902698343
5049,461,636,1097,6.4694037648166,5.6499069734542,12.1193107382708,131.535606245948,0,11.678905896551063,0.5473044810455789,0,12.663000533662387,0.47446693998565814
14768,2119,277,2396,2.1936276483057906,5.79052962713556,7.98415727544135,78.8922701056973,0,10.085225605791667,0.6966351328380941,0,12.652222138690846,0.45778887045177347
14797,350,583,933,-6.8798745922678,30.5269099419859,23.6470353497181,150.100323140252,0,11.010415172807951,0.7358851942325242,0,12.127754283650875,0.5793179219549337
14809,-4,121,117,2.696128201165269,9.05627774809103,11.7524059492563,138.187386496643,0,9.311090275076326,0.8663760315905326,0,10.798554647958657,0.7355235704038847
14830,-80,191,111,0.7052791928140802,9.10424461670973,9.80952380952381,141.906133442165,0,9.960670966063581,0.7577987713610608,0,10.810515517131098,0.7417351006537822
14844,29,156,185,4.42790890097732,6.34400221013378,10.7719111111111,135.468638729748,0,8.847216104357543,0.844640345168098,0,10.387332447970344,0.7452150106779598
14854,-24,70,46,0.49716172655083035,5.50283827344917,6,129.531143606645,0,7.853993087224244,1.1159924886536394,0,8.629807335785372,0.9319320013519911
14871,-110,284,174,-3.79755389985192,13.7632631647977,9.96570926494578,132.968640783178,0,11.622721130793112,0.6683553619897595,0,11.843243086457699,0.6374156825673177
14879,-40,183,143,0.640824112451801,14.0548280614612,14.695652173913,128.249894659028,0,9.94515718770752,0.8375956874763816,0,10.52891783292566,0.762632773316833
14909,-8,90,82,1.36327683142534,8.65068870523416,10.0139655366595,138.249886445307,0,8.139148678884066,0.841477142798271,0,9.612198984490236,0.7966652459418123
14917,-18,57,39,3.9185511159205904,4.46140984699418,8.37996096291477,138.687386085957,0,7.501082124259871,0.9241658917287322,0,8.374938143835367,0.8986477977871509
14928,5,129,134,3.101625458298301,12.2965475669569,15.3981730252552,137.968636676318,0,9.033603193476129,0.7101289995970851,0,10.532202872936685,0.749228154970687
14942,-58,178,120,1.93430427750598,9.46598312469742,11.4002874022034,169.624860674757,0,10.199993083535142,0.84017372761857,0,10.649962207136612,0.7540499160404617
14954,6,43,49,5.58370870870872,6.18018018018018,11.7638888888889,175.187356105875,0,7.577633832602728,0.9137731445711591,0,8.948585921534317,0.9019304059574863
14966,8,221,229,4.555362200495869,8.11088269454123,12.6662448950371,135.187388960759,0,10.33543229344867,0.7100350928062906,0,11.450368978303967,0.645917254779738
14977,12,91,103,6.35645064602122,5.17477477477478,11.531225420796,137.968636676318,0,8.69851424787661,0.9346064450996634,0,9.912100355634351,0.8681651048909484
14994,44,59,103,3.12637502268747,4.67791724836356,7.80429227105103,178.906103051397,0,7.986164860332727,0.9698164082829295,0,9.6445872815098,0.8057155079364553
15001,117,127,244,0.7579815194042503,8.80790205595245,9.5658835753567,168.18736185548,0,8.811503250158239,0.8013080018414412,0,10.903641377417275,0.6610925267942953
15014,-12,52,40,-0.01338053059717037,5.82733401896926,5.81395348837209,133.968639961806,0,6.525029657843462,0.6608743754297002,0,7.734996194022781,0.7567436879797099
15030,-7,219,212,4.2447715178763,11.0510161761808,15.2957876940571,135.468638729748,0,10.409190075603348,0.6972601690597029,0,11.628510531305272,0.6242049567364877
15038,-5,71,66,4.197550411499811,5.26966270325429,9.4672131147541,176.906104694142,0,7.71244383427499,0.9513589423669342,0,9.748528212497986,0.9214861597443773
15062,14,36,50,-3.980711722488051,13.0909090909091,9.11019736842105,82.5311822111337,0,6.679599185844383,1.2599187702242094,0,8.258681496264236,0.9209961356825314
15068,2,54,56,0.7134935671890812,8.70297248962363,9.41646605681271,134.968639140434,0,7.912056888179006,1.1829286719226029,0,8.626406276389554,0.9959090880297039
15080,12,50,62,3.785714285714299,10.5952380952381,14.3809523809524,146.468629694655,0,6.175867270105761,0.7614082222605195,0,8.724207360800564,0.8583301407251813
15093,-5,80,75,2.3504733748636193,6.43001443001443,8.78048780487805,130.249893016284,0,7.872073979866873,0.9192366155223761,0,9.136586183387521,0.8258101111019309
15109,14,132,146,7.135928841774598,10.2237317709211,17.3596606126957,125.968646532783,0,8.845777255188445,0.8822013974140063,0,10.427594586608032,0.7717016905449736
15120,15,142,157,-9.560606075349702,25.2008129563931,15.6402068810434,141.68738362184,0,9.657650950674242,0.8363790986267794,0,10.630238740509851,0.6992737922240145
15134,69,81,150,-8.5777499902876,31.6454293628809,23.0676793725933,94.7499221749932,0,9.015541293671115,0.8905626340723214,0,10.569725916538856,0.7710927919898809
15156,-10,37,27,18.833882311047798,10.4255319148936,29.2594142259414,74.8749384997639,0,5.924255797414532,0.8069895147938425,0,7.5953872788539725,0.9335164296692592
15170,-111,152,41,-10.081360017686599,23.7080266843533,13.6266666666667,132.24989137354,0,9.356084386028888,0.823938905651327,0,9.69818391935025,0.7974792488668584
15197,-8,41,33,-0.4314310844370901,5.56923506380334,5.13780397936625,127.041562318186,0,6.169610732491456,1.135717575514694,0,6.9726062513017535,0.9012028529261247
15206,-75,146,71,12.2010980825518,12.3443564629027,24.5454545454545,161.99986693772,0,9.799015530939418,0.7538915926602625,0,10.352203702638608,0.7357179654163016
15217,87,34,121,3.8884577879071003,26.2911829306558,30.1796407185629,179.187352820387,0,4.762173934797756,0.8767795992050609,0,10.180096038519288,0.8519852071338242
15227,35,30,65,1.4836417650743803,4.54511278195489,6.02875454702927,157.406120710898,0,5.147494476813453,1.049138396024061,0,7.932721027481948,0.9205725545959174
15392,451,763,1214,5.114074817992302,14.1262496104754,19.2403244284677,112.553478980208,0,11.846393192571142,0.5634916895344302,0,12.63627264175785,0.470932885873612
15397,568,423,991,4.663627929147131,9.79539676381337,14.4590246929605,100.370453272728,0,10.863086785010477,0.6268591072677473,0,12.282982759443607,0.5075924728873692
15400,926,279,1205,5.477032792146449,9.03703369780395,14.5140664899504,86.9820714124373,0,10.272081185868387,0.6928394451300078,0,12.580765782471536,0.48914885427804367
15404,327,764,1091,3.8267071462583004,11.074548865856,14.9012560121143,133.793559977407,0,11.678168680229431,0.5385581374098913,0,12.358858108158087,0.491470059272979
15412,524,383,907,4.09649355244939,8.59506912408211,12.6915626765315,105.841319314822,0,10.950016761334012,0.6543289193286644,0,12.339068269656384,0.4992804816953849
15418,827,481,1308,4.598419531257402,12.8990808005663,17.4975003318237,85.1024942016921,0,11.179743808447082,0.6470528095109165,0,12.471440088247848,0.4761242441786655
15423,772,511,1283,7.010655014370599,11.0909163252885,18.1015713396591,104.916580491044,0,10.922280719644574,0.6429125514282684,0,12.525834611445367,0.4737960870111862
15430,417,395,812,-0.2867103549783998,11.101410289857,10.8146999348786,82.4530572753034,0,11.087038237720428,0.63713114459753994,0,11.965579455880851,0.5373842927247413
15436,651,490,1141,4.1565567256166,8.5418289669435,12.6983856925601,96.4936707427258,0,11.001733107298913,0.6141771078070757,0,12.383017272511303,0.48620680847453235
15449,258,112,370,1.30465157512499,6.71507389008402,8.01972546520901,101.645749844282,0,9.048291920021784,0.8163040685246791,0,10.498994340453384,0.641542968633657
15455,594,571,1165,4.3419594640799986,12.9483691970497,17.2903286611297,109.807945521029,0,11.323579293239309,0.5973231168646719,0,12.336548123600519,0.4768337842647991
15480,1139,1479,2618,2.954421585732401,17.0187896371436,19.973211222876,68.5086242844366,0,12.695722639863787,0.4775060361466017,0,13.133932199773405,0.40594384677778517
15513,1684,1784,3468,3.1895921569912993,10.712527449694,13.9021196066853,64.8540350765259,0,12.593254970793236,0.4709495567069715,0,13.157993035044404,0.39901733863550637
15532,260,586,846,3.5069442612283996,10.502874775492,14.0098190367204,104.970055480859,0,11.728093294606746,0.5836292912398465,0,12.358081032285398,0.5001489614337219
15614,82,123,205,-0.43524947622595,8.90075656430797,8.46550708808202,48.0832938390248,0,10.055951095662596,0.8266638246554268,0,11.090507465209402,0.6987927847549403
15657,164,212,376,-30.2101610631142,70.7682177639104,40.5580567007962,120.666567554433,0,8.963672275615016,0.6031461513884739,0,11.185254384302084,0.6107691654298448
15658,30,337,367,-9.935919287595901,55.3797939300706,45.4438746424747,140.624884494548,0,10.294042047908539,0.6091673163311937,0,11.495351951353065,0.600390928663127
